#List of solar wind stream interface arrival times at Earth
#From Morley et al. (2010), "Dropouts of the outer electron
#radiation belt in response to solar wind stream interfaces:
#global positioning system observations", Proceedings of the
#Royal Society A, 466, pp.3329-3350.
#
#couple_events = np.array([1108, 1171, 1230, 1345, 1601, 1641, 1783, 1809, 1815]) 
#couple_events = np.array([1258, 1458, 1695]) 
#couple_events = np.array([939,1286])
#YYYY MM DD hh mm ss
1108 06 15 00 00 00
1171 06 15 00 00 00
1230 06 15 00 00 00
1345 06 15 00 00 00
1601 06 15 00 00 00
1641 06 15 00 00 00
1783 06 15 00 00 00
1809 06 15 00 00 00
1815 06 15 00 00 00
1991 06 15 00 00 00
1964 06 15 00 00 00
1884 06 15 00 00 00
1862 06 15 00 00 00
1836 06 15 00 00 00
1832 06 15 00 00 00
1832 06 15 00 00 00
1695 06 15 00 00 00
1595 06 15 00 00 00
1585 06 15 00 00 00
1458 06 15 00 00 00
1453 06 15 00 00 00
1286 06 15 00 00 00
1276 06 15 00 00 00
1258 06 15 00 00 00
1210 06 15 00 00 00
1191 06 15 00 00 00
1182 06 15 00 00 00
1127 06 15 00 00 00
1028 06 15 00 00 00
1003 06 15 00 00 00
976 06 15 00 00 00
939 06 15 00 00 00
916 06 15 00 00 00
#2005 06 15 00 00 00
#2005 06 15 00 00 00
#2005 06 15 00 00 00
#2005 06 15 00 00 00
#2005 06 15 00 00 00
#2005 10 15 00 00 00
#>3.7W/m2
